unicode_character__c,unicode_index__c,order__c
Ұ,1200.0,750.0
Ҳ,1202.0,751.0
Ҵ,1204.0,752.0
Ҷ,1206.0,753.0
Ҹ,1208.0,754.0
Һ,1210.0,755.0
Ҽ,1212.0,756.0
Ҿ,1214.0,757.0
Ӏ,1216.0,758.0
Ӂ,1217.0,759.0
Ӄ,1219.0,760.0
Ӆ,1221.0,761.0
Ӈ,1223.0,762.0
Ӊ,1225.0,763.0
Ӌ,1227.0,764.0
Ӎ,1229.0,765.0
Ӑ,1232.0,766.0
Ӓ,1234.0,767.0
Ӕ,1236.0,768.0
Ӗ,1238.0,769.0
Ә,1240.0,770.0
Ӛ,1242.0,771.0
Ӝ,1244.0,772.0
Ӟ,1246.0,773.0
Ӡ,1248.0,774.0
Ӣ,1250.0,775.0
Ӥ,1252.0,776.0
Ӧ,1254.0,777.0
Ө,1256.0,778.0
Ӫ,1258.0,779.0
Ӭ,1260.0,780.0
Ӯ,1262.0,781.0
Ӱ,1264.0,782.0
Ӳ,1266.0,783.0
Ӵ,1268.0,784.0
Ӷ,1270.0,785.0
Ӹ,1272.0,786.0
Ӻ,1274.0,787.0
Ӽ,1276.0,788.0
Ӿ,1278.0,789.0
Ԁ,1280.0,790.0
Ԃ,1282.0,791.0
Ԅ,1284.0,792.0
Ԇ,1286.0,793.0
Ԉ,1288.0,794.0
Ԋ,1290.0,795.0
Ԍ,1292.0,796.0
Ԏ,1294.0,797.0
Ԑ,1296.0,798.0
Ԓ,1298.0,799.0
Ԕ,1300.0,800.0
Ԗ,1302.0,801.0
Ԙ,1304.0,802.0
Ԛ,1306.0,803.0
Ԝ,1308.0,804.0
Ԟ,1310.0,805.0
Ԡ,1312.0,806.0
Ԣ,1314.0,807.0
Ԥ,1316.0,808.0
Ԧ,1318.0,809.0
Ԩ,1320.0,810.0
Ԫ,1322.0,811.0
Ԭ,1324.0,812.0
Ԯ,1326.0,813.0
԰,1328.0,814.0
Ա,1329.0,815.0
Բ,1330.0,816.0
Գ,1331.0,817.0
Դ,1332.0,818.0
Ե,1333.0,819.0
Զ,1334.0,820.0
Է,1335.0,821.0
Ը,1336.0,822.0
Թ,1337.0,823.0
Ժ,1338.0,824.0
Ի,1339.0,825.0
Լ,1340.0,826.0
Խ,1341.0,827.0
Ծ,1342.0,828.0
Կ,1343.0,829.0
Հ,1344.0,830.0
Ձ,1345.0,831.0
Ղ,1346.0,832.0
Ճ,1347.0,833.0
Մ,1348.0,834.0
Յ,1349.0,835.0
Ն,1350.0,836.0
Շ,1351.0,837.0
Ո,1352.0,838.0
Չ,1353.0,839.0
Պ,1354.0,840.0
Ջ,1355.0,841.0
Ռ,1356.0,842.0
Ս,1357.0,843.0
Վ,1358.0,844.0
Տ,1359.0,845.0
Ր,1360.0,846.0
Ց,1361.0,847.0
Ւ,1362.0,848.0
Փ,1363.0,849.0
Ք,1364.0,850.0
Օ,1365.0,851.0
Ֆ,1366.0,852.0
՗,1367.0,853.0
՘,1368.0,854.0
ՙ,1369.0,855.0
՚,1370.0,856.0
՛,1371.0,857.0
՜,1372.0,858.0
՝,1373.0,859.0
՞,1374.0,860.0
՟,1375.0,861.0
ՠ,1376.0,862.0
ֈ,1416.0,864.0
։,1417.0,865.0
֊,1418.0,866.0
֋,1419.0,867.0
֌,1420.0,868.0
֍,1421.0,869.0
֎,1422.0,870.0
֏,1423.0,871.0
؆,1542.0,990.0
؇,1543.0,991.0
؉,1545.0,993.0
؊,1546.0,994.0
،,1548.0,996.0
؎,1550.0,998.0
؏,1551.0,999.0
٠,1632.0,1080.0
١,1633.0,1081.0
٢,1634.0,1082.0
٣,1635.0,1083.0
٤,1636.0,1084.0
٥,1637.0,1085.0
٦,1638.0,1086.0
٧,1639.0,1087.0
٨,1640.0,1088.0
٩,1641.0,1089.0
٪,1642.0,1090.0
٫,1643.0,1091.0
٬,1644.0,1092.0
۞,1758.0,1206.0
۩,1769.0,1217.0
۰,1776.0,1224.0
۱,1777.0,1225.0
۲,1778.0,1226.0
۳,1779.0,1227.0
۴,1780.0,1228.0
۵,1781.0,1229.0
۶,1782.0,1230.0
۷,1783.0,1231.0
۸,1784.0,1232.0
۹,1785.0,1233.0
߶,2038.0,1486.0
߷,2039.0,1487.0
߸,2040.0,1488.0
߹,2041.0,1489.0
ࠖ,2070.0,1518.0
ࠗ,2071.0,1519.0
࠘,2072.0,1520.0
࠙,2073.0,1521.0
ࠛ,2075.0,1523.0
ࠜ,2076.0,1524.0
ࠝ,2077.0,1525.0
ࠞ,2078.0,1526.0
ࠟ,2079.0,1527.0
ࠠ,2080.0,1528.0
ࠡ,2081.0,1529.0
ࠢ,2082.0,1530.0
ࠣ,2083.0,1531.0
